game_id;game_date;league_id;league_name;league_season;teams_home_id;teams_home_name;teams_away_id;teams_away_name;score_ht_home;score_ft_home;score_ht_away;score_ft_away
871775;2023-04-15 19:00:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;116;Lens;3.0;3.0;0.0;1.0
871776;2023-04-16 13:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;98;Ajaccio;1.0;3.0;0.0;1.0
871777;2023-04-16 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;84;Nice;1.0;1.0;0.0;0.0
871778;2023-04-15 15:00:00+00:00;61;Ligue 1;2022;94;Rennes;93;Reims;2.0;3.0;0.0;0.0
871779;2023-04-14 19:00:00+00:00;61;Ligue 1;2022;96;Toulouse;80;Lyon;1.0;1.0;1.0;2.0
871780;2023-04-23 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;106;Stade Brestois 29;0.0;0.0;0.0;0.0
871781;2023-04-22 15:00:00+00:00;61;Ligue 1;2022;108;Auxerre;79;Lille;0.0;1.0;1.0;1.0
871782;2023-04-21 19:00:00+00:00;61;Ligue 1;2022;77;Angers;85;Paris Saint Germain;0.0;1.0;2.0;2.0
871783;2023-04-23 13:00:00+00:00;61;Ligue 1;2022;97;Lorient;96;Toulouse;0.0;0.0;0.0;1.0
871784;2023-04-23 13:00:00+00:00;61;Ligue 1;2022;83;Nantes;110;Estac Troyes;1.0;2.0;0.0;2.0
871785;2023-04-23 15:05:00+00:00;61;Ligue 1;2022;82;Montpellier;94;Rennes;0.0;1.0;0.0;0.0
871786;2023-04-23 13:00:00+00:00;61;Ligue 1;2022;84;Nice;99;Clermont Foot;1.0;1.0;1.0;2.0
871787;2023-04-23 18:45:00+00:00;61;Ligue 1;2022;80;Lyon;81;Marseille;0.0;1.0;1.0;2.0
871788;2023-04-22 19:00:00+00:00;61;Ligue 1;2022;116;Lens;91;Monaco;2.0;3.0;0.0;0.0
871789;2023-04-23 11:00:00+00:00;61;Ligue 1;2022;93;Reims;95;Strasbourg;0.0;0.0;2.0;2.0
871790;2023-04-30 11:00:00+00:00;61;Ligue 1;2022;91;Monaco;82;Montpellier;0.0;0.0;1.0;4.0
871791;2023-04-30 13:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;93;Reims;1.0;1.0;0.0;0.0
871792;2023-04-29 15:00:00+00:00;61;Ligue 1;2022;79;Lille;98;Ajaccio;3.0;3.0;0.0;0.0
871793;2023-04-30 18:45:00+00:00;61;Ligue 1;2022;81;Marseille;108;Auxerre;0.0;2.0;1.0;1.0
871794;2023-04-30 15:05:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;97;Lorient;1.0;1.0;2.0;3.0
871795;2023-04-28 19:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;80;Lyon;1.0;1.0;2.0;2.0
871796;2023-05-03 19:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;83;Nantes;2.0;2.0;0.0;0.0
871797;2023-04-30 13:00:00+00:00;61;Ligue 1;2022;94;Rennes;77;Angers;2.0;4.0;2.0;2.0
871798;2023-05-02 19:00:00+00:00;61;Ligue 1;2022;96;Toulouse;116;Lens;0.0;0.0;1.0;1.0
871799;2023-04-30 13:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;84;Nice;0.0;0.0;1.0;1.0
871800;2023-05-07 13:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;96;Toulouse;0.0;0.0;0.0;0.0
871801;2023-05-07 13:00:00+00:00;61;Ligue 1;2022;108;Auxerre;99;Clermont Foot;1.0;1.0;0.0;1.0
871802;2023-05-07 11:00:00+00:00;61;Ligue 1;2022;77;Angers;91;Monaco;0.0;1.0;1.0;2.0
871803;2023-05-07 13:00:00+00:00;61;Ligue 1;2022;97;Lorient;106;Stade Brestois 29;1.0;2.0;0.0;1.0
871804;2023-05-07 13:00:00+00:00;61;Ligue 1;2022;83;Nantes;95;Strasbourg;0.0;0.0;1.0;2.0
871805;2023-05-06 15:00:00+00:00;61;Ligue 1;2022;84;Nice;94;Rennes;0.0;2.0;0.0;1.0
871806;2023-05-07 15:05:00+00:00;61;Ligue 1;2022;80;Lyon;82;Montpellier;1.0;5.0;2.0;4.0
871807;2023-05-06 19:00:00+00:00;61;Ligue 1;2022;116;Lens;81;Marseille;1.0;2.0;0.0;1.0
871808;2023-05-06 17:00:00+00:00;61;Ligue 1;2022;93;Reims;79;Lille;1.0;1.0;0.0;0.0
871809;2023-05-07 18:45:00+00:00;61;Ligue 1;2022;110;Estac Troyes;85;Paris Saint Germain;0.0;1.0;1.0;3.0
871810;2023-05-14 15:05:00+00:00;61;Ligue 1;2022;91;Monaco;79;Lille;0.0;0.0;0.0;0.0
871811;2023-05-14 11:00:00+00:00;61;Ligue 1;2022;99;Clermont Foot;80;Lyon;1.0;2.0;1.0;1.0
871812;2023-05-14 13:00:00+00:00;61;Ligue 1;2022;82;Montpellier;97;Lorient;0.0;1.0;0.0;1.0
871813;2023-05-14 18:45:00+00:00;61;Ligue 1;2022;81;Marseille;77;Angers;1.0;3.0;1.0;1.0
871814;2023-05-13 19:00:00+00:00;61;Ligue 1;2022;85;Paris Saint Germain;98;Ajaccio;2.0;5.0;0.0;0.0
871815;2023-05-12 19:00:00+00:00;61;Ligue 1;2022;116;Lens;93;Reims;1.0;2.0;1.0;1.0
871816;2023-05-13 15:00:00+00:00;61;Ligue 1;2022;95;Strasbourg;84;Nice;1.0;2.0;0.0;0.0
871817;2023-05-14 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;108;Auxerre;0.0;1.0;0.0;0.0
871818;2023-05-14 13:00:00+00:00;61;Ligue 1;2022;94;Rennes;110;Estac Troyes;1.0;4.0;0.0;0.0
871819;2023-05-14 14:30:00+00:00;61;Ligue 1;2022;96;Toulouse;83;Nantes;0.0;0.0;0.0;0.0
871820;2023-05-21 11:00:00+00:00;61;Ligue 1;2022;98;Ajaccio;94;Rennes;;;;
871821;2023-05-21 18:45:00+00:00;61;Ligue 1;2022;108;Auxerre;85;Paris Saint Germain;;;;
871822;2023-05-21 15:05:00+00:00;61;Ligue 1;2022;97;Lorient;116;Lens;;;;
871823;2023-05-20 15:00:00+00:00;61;Ligue 1;2022;83;Nantes;82;Montpellier;;;;
871824;2023-05-20 19:00:00+00:00;61;Ligue 1;2022;79;Lille;81;Marseille;;;;
871825;2023-05-21 13:00:00+00:00;61;Ligue 1;2022;84;Nice;96;Toulouse;;;;
871826;2023-05-19 19:00:00+00:00;61;Ligue 1;2022;80;Lyon;91;Monaco;1.0;3.0;1.0;1.0
871827;2023-05-21 13:00:00+00:00;61;Ligue 1;2022;106;Stade Brestois 29;99;Clermont Foot;;;;
871828;2023-05-21 13:00:00+00:00;61;Ligue 1;2022;93;Reims;77;Angers;;;;
871829;2023-05-21 13:00:00+00:00;61;Ligue 1;2022;110;Estac Troyes;95;Strasbourg;;;;
871830;2023-05-27 19:00:00+00:00;61;Ligue 1;2022;77;Angers;110;Estac Troyes;;;;
